,Seq-1
Idx-870,49
Idx-871,23
Idx-872,1
Idx-873,43
Idx-874,10
Idx-875,9
Idx-876,29
Idx-877,5
Idx-878,18
Idx-879,40
Idx-880,56
Idx-881,58
Idx-882,54
Idx-883,21
Idx-884,35
Idx-885,19
Idx-886,12
Idx-887,45
Idx-888,6
Idx-889,68
Idx-890,57
Idx-891,44
Idx-892,53
Idx-893,24
Idx-894,63
Idx-895,50
Idx-896,70
Idx-897,39
Idx-898,16
Idx-899,48
Idx-900,73
Idx-901,32
Idx-902,64
Idx-903,77
Idx-904,60
Idx-905,22
Idx-906,72
Idx-907,59
Idx-908,76
Idx-909,55
Idx-910,36
Idx-911,78
Idx-912,8
Idx-913,11
Idx-914,31
Idx-915,52
Idx-916,37
Idx-917,41
Idx-918,27
Idx-919,26
Idx-920,38
Idx-921,3
Idx-922,69
Idx-923,33
Idx-924,2
Idx-925,66
Idx-926,20
Idx-927,14
Idx-928,75
Idx-929,67
Idx-930,46
Idx-931,51
Idx-932,7
Idx-933,25
Idx-934,74
Idx-935,42
Idx-936,28
Idx-937,17
Idx-938,30
Idx-939,61
Idx-940,4
Idx-941,71
Idx-942,65
Idx-943,13
Idx-944,34
Idx-945,15
Idx-946,62
Idx-947,47
Idx-948,49
Idx-949,23
Idx-950,1
Idx-951,43
Idx-952,10
Idx-953,9
Idx-954,29
Idx-955,5
Idx-956,18
Idx-957,40
Idx-958,56
Idx-959,58
Idx-960,54
Idx-961,21
Idx-962,35
Idx-963,19
Idx-964,12
Idx-965,45
Idx-966,6
Idx-967,68
Idx-968,57
Idx-969,44
Idx-970,53
Idx-971,24
Idx-972,63
Idx-973,50
Idx-974,70
Idx-975,39
Idx-976,16
Idx-977,48
Idx-978,73
Idx-979,32
Idx-980,64
Idx-981,77
Idx-982,60
Idx-983,22
Idx-984,72
Idx-985,59
Idx-986,76
Idx-987,55
Idx-988,36
Idx-989,78
Idx-990,8
Idx-991,11
Idx-992,31
Idx-993,52
Idx-994,37
Idx-995,41
Idx-996,27
Idx-997,26
Idx-998,38
Idx-999,3
Idx-1000,69
Idx-1001,33
Idx-1002,2
Idx-1003,66
Idx-1004,20
Idx-1005,14
Idx-1006,75
Idx-1007,67
Idx-1008,46
Idx-1009,51
Idx-1010,7
Idx-1011,25
Idx-1012,74
Idx-1013,42
Idx-1014,28
Idx-1015,17
Idx-1016,30
Idx-1017,61
Idx-1018,4
Idx-1019,71
Idx-1020,65
Idx-1021,13
Idx-1022,34
Idx-1023,15
Idx-1024,62
Idx-1025,47
Idx-1026,49
Idx-1027,23
Idx-1028,1
Idx-1029,43
Idx-1030,10
Idx-1031,9
Idx-1032,29
Idx-1033,5
Idx-1034,18
Idx-1035,40
Idx-1036,56
Idx-1037,58
Idx-1038,54
Idx-1039,21
Idx-1040,35
Idx-1041,19
Idx-1042,12
Idx-1043,45
Idx-1044,6
Idx-1045,68
Idx-1046,57
Idx-1047,44
Idx-1048,53
Idx-1049,24
Idx-1050,63
Idx-1051,50
Idx-1052,70
Idx-1053,39
Idx-1054,16
Idx-1055,48
Idx-1056,73
Idx-1057,32
Idx-1058,64
Idx-1059,77
Idx-1060,60
Idx-1061,22
Idx-1062,72
Idx-1063,59
Idx-1064,76
Idx-1065,55
Idx-1066,36
Idx-1067,78
Idx-1068,8
Idx-1069,11
Idx-1070,31
Idx-1071,52
Idx-1072,37
Idx-1073,41
Idx-1074,27
Idx-1075,26
Idx-1076,38
Idx-1077,3
Idx-1078,69
Idx-1079,33
Idx-1080,2
Idx-1081,66
Idx-1082,20
Idx-1083,14
Idx-1084,75
Idx-1085,67
Idx-1086,46
Idx-1087,51
Idx-1088,7
Idx-1089,25
Idx-1090,74
Idx-1091,42
Idx-1092,28
Idx-1093,17
Idx-1094,30
Idx-1095,61
Idx-1096,4
Idx-1097,71
Idx-1098,65
Idx-1099,13
Idx-1100,34
Idx-1101,15
Idx-1102,62
Idx-1103,47
Idx-1104,49
Idx-1105,23
Idx-1106,1
Idx-1107,43
Idx-1108,10
Idx-1109,9
Idx-1110,29
Idx-1111,5
Idx-1112,18
Idx-1113,40
Idx-1114,56
Idx-1115,58
Idx-1116,54
Idx-1117,21
Idx-1118,35
Idx-1119,19
Idx-1120,12
Idx-1121,45
Idx-1122,6
Idx-1123,68
Idx-1124,57
Idx-1125,44
Idx-1126,53
Idx-1127,24
Idx-1128,63
Idx-1129,50
Idx-1130,70
Idx-1131,39
Idx-1132,16
Idx-1133,48
Idx-1134,73
Idx-1135,32
Idx-1136,64
Idx-1137,77
Idx-1138,60
Idx-1139,22
Idx-1140,72
Idx-1141,59
Idx-1142,76
Idx-1143,55
Idx-1144,36
Idx-1145,78
Idx-1146,8
Idx-1147,11
Idx-1148,31
Idx-1149,52
Idx-1150,37
Idx-1151,41
Idx-1152,27
Idx-1153,26
Idx-1154,38
Idx-1155,3
Idx-1156,69
Idx-1157,33
Idx-1158,2
Idx-1159,66
Idx-1160,20
Idx-1161,14
Idx-1162,75
Idx-1163,67
Idx-1164,46
Idx-1165,51
Idx-1166,7
Idx-1167,25
Idx-1168,74
Idx-1169,42
Idx-1170,28
Idx-1171,17
Idx-1172,30
Idx-1173,61
Idx-1174,4
Idx-1175,71
Idx-1176,65
Idx-1177,13
Idx-1178,34
Idx-1179,15
Idx-1180,62
Idx-1181,47
Idx-1182,49
Idx-1183,23
Idx-1184,1
Idx-1185,43
Idx-1186,10
Idx-1187,9
Idx-1188,29
Idx-1189,5
Idx-1190,18
Idx-1191,40
Idx-1192,56
Idx-1193,58
Idx-1194,54
Idx-1195,21
Idx-1196,35
Idx-1197,19
Idx-1198,12
Idx-1199,45
Idx-1200,6
Idx-1201,68
Idx-1202,57
Idx-1203,44
Idx-1204,53
Idx-1205,24
Idx-1206,63
Idx-1207,50
Idx-1208,70
Idx-1209,39
Idx-1210,16
Idx-1211,48
Idx-1212,73
Idx-1213,32
Idx-1214,64
Idx-1215,77
Idx-1216,60
Idx-1217,22
Idx-1218,72
Idx-1219,59
Idx-1220,76
Idx-1221,55
Idx-1222,36
Idx-1223,78
Idx-1224,8
Idx-1225,11
Idx-1226,31
Idx-1227,52
Idx-1228,37
Idx-1229,41
Idx-1230,27
Idx-1231,26
Idx-1232,38
Idx-1233,3
Idx-1234,69
Idx-1235,33
Idx-1236,2
Idx-1237,66
Idx-1238,20
Idx-1239,14
Idx-1240,75
Idx-1241,67
Idx-1242,46
Idx-1243,51
Idx-1244,7
Idx-1245,25
Idx-1246,74
Idx-1247,42
Idx-1248,28
Idx-1249,17
Idx-1250,30
Idx-1251,61
Idx-1252,4
Idx-1253,71
Idx-1254,65
Idx-1255,13
Idx-1256,34
Idx-1257,15
Idx-1258,62
Idx-1259,47
Idx-1260,49
Idx-1261,23
Idx-1262,1
Idx-1263,43
Idx-1264,10
Idx-1265,9
Idx-1266,29
Idx-1267,5
Idx-1268,18
Idx-1269,40
Idx-1270,56
Idx-1271,58
Idx-1272,54
Idx-1273,21
Idx-1274,35
Idx-1275,19
Idx-1276,12
Idx-1277,45
Idx-1278,6
Idx-1279,68
Idx-1280,57
Idx-1281,44
Idx-1282,53
Idx-1283,24
Idx-1284,63
Idx-1285,50
Idx-1286,70
Idx-1287,39
Idx-1288,16
Idx-1289,48
Idx-1290,73
Idx-1291,32
Idx-1292,64
Idx-1293,77
Idx-1294,60
Idx-1295,22
Idx-1296,72
Idx-1297,59
Idx-1298,76
Idx-1299,55
Idx-1300,36
Idx-1301,78
Idx-1302,8
Idx-1303,11
Idx-1304,31
Idx-1305,52
Idx-1306,37
Idx-1307,41
Idx-1308,27
Idx-1309,26
Idx-1310,38
Idx-1311,3
Idx-1312,69
Idx-1313,33
Idx-1314,2
Idx-1315,66
Idx-1316,20
Idx-1317,14
Idx-1318,75
Idx-1319,67
Idx-1320,46
Idx-1321,51
Idx-1322,7
Idx-1323,25
Idx-1324,74
Idx-1325,42
Idx-1326,28
Idx-1327,17
Idx-1328,30
Idx-1329,61
Idx-1330,4
Idx-1331,71
Idx-1332,65
Idx-1333,13
Idx-1334,34
Idx-1335,15
Idx-1336,62
Idx-1337,47
Idx-1338,49
Idx-1339,23
Idx-1340,1
Idx-1341,43
Idx-1342,10
Idx-1343,9
Idx-1344,29
Idx-1345,5
Idx-1346,18
Idx-1347,40
Idx-1348,56
Idx-1349,58
Idx-1350,54
Idx-1351,21
Idx-1352,35
Idx-1353,19
Idx-1354,12
Idx-1355,45
Idx-1356,6
Idx-1357,68
Idx-1358,57
Idx-1359,44
Idx-1360,53
Idx-1361,24
Idx-1362,63
Idx-1363,50
Idx-1364,70
Idx-1365,39
Idx-1366,16
Idx-1367,48
Idx-1368,73
Idx-1369,32
Idx-1370,64
Idx-1371,77
Idx-1372,60
Idx-1373,22
Idx-1374,72
Idx-1375,59
Idx-1376,76
Idx-1377,55
Idx-1378,36
Idx-1379,78
Idx-1380,8
Idx-1381,11
Idx-1382,31
Idx-1383,52
Idx-1384,37
Idx-1385,41
Idx-1386,27
Idx-1387,26
Idx-1388,38
Idx-1389,3
Idx-1390,69
Idx-1391,33
Idx-1392,2
Idx-1393,66
Idx-1394,20
Idx-1395,14
Idx-1396,75
Idx-1397,67
Idx-1398,46
Idx-1399,51
Idx-1400,7
Idx-1401,25
Idx-1402,74
Idx-1403,42
Idx-1404,28
Idx-1405,17
Idx-1406,30
Idx-1407,61
Idx-1408,4
Idx-1409,71
Idx-1410,65
Idx-1411,13
Idx-1412,34
Idx-1413,15
Idx-1414,62
Idx-1415,47
Idx-1416,49
Idx-1417,23
Idx-1418,1
Idx-1419,43
Idx-1420,10
Idx-1421,9
Idx-1422,29
Idx-1423,5
Idx-1424,18
Idx-1425,40
Idx-1426,56
Idx-1427,58
Idx-1428,54
Idx-1429,21
Idx-1430,35
Idx-1431,19
Idx-1432,12
Idx-1433,45
Idx-1434,6
Idx-1435,68
Idx-1436,57
Idx-1437,44
Idx-1438,53
Idx-1439,24
Idx-1440,63
Idx-1441,50
Idx-1442,70
Idx-1443,39
Idx-1444,16
Idx-1445,48
Idx-1446,73
Idx-1447,32
Idx-1448,64
Idx-1449,77
Idx-1450,60
Idx-1451,22
Idx-1452,72
Idx-1453,59
Idx-1454,76
Idx-1455,55
Idx-1456,36
Idx-1457,78
Idx-1458,8
Idx-1459,11
Idx-1460,31
Idx-1461,52
Idx-1462,37
Idx-1463,41
Idx-1464,27
Idx-1465,26
Idx-1466,38
Idx-1467,3
Idx-1468,69
Idx-1469,33
Idx-1470,2
Idx-1471,66
Idx-1472,20
Idx-1473,14
Idx-1474,75
Idx-1475,67
Idx-1476,46
Idx-1477,51
Idx-1478,7
Idx-1479,25
Idx-1480,74
Idx-1481,42
Idx-1482,28
Idx-1483,17
Idx-1484,30
Idx-1485,61
Idx-1486,4
Idx-1487,71
Idx-1488,65
Idx-1489,13
Idx-1490,34
Idx-1491,15
Idx-1492,62
Idx-1493,47
Idx-1494,49
Idx-1495,23
Idx-1496,1
Idx-1497,43
Idx-1498,10
Idx-1499,9
Idx-1500,29
Idx-1501,5
Idx-1502,18
Idx-1503,40
Idx-1504,56
Idx-1505,58
Idx-1506,54
Idx-1507,21
Idx-1508,35
Idx-1509,19
Idx-1510,12
Idx-1511,45
Idx-1512,6
Idx-1513,68
Idx-1514,57
Idx-1515,44
Idx-1516,53
Idx-1517,24
Idx-1518,63
Idx-1519,50
Idx-1520,70
Idx-1521,39
Idx-1522,16
Idx-1523,48
Idx-1524,73
Idx-1525,32
Idx-1526,64
Idx-1527,77
Idx-1528,60
Idx-1529,22
Idx-1530,72
Idx-1531,59
Idx-1532,76
Idx-1533,55
Idx-1534,36
Idx-1535,78
Idx-1536,8
Idx-1537,11
Idx-1538,31
Idx-1539,52
Idx-1540,37
Idx-1541,41
Idx-1542,27
Idx-1543,26
Idx-1544,38
Idx-1545,3
Idx-1546,69
Idx-1547,33
Idx-1548,2
Idx-1549,66
Idx-1550,20
Idx-1551,14
Idx-1552,75
Idx-1553,67
Idx-1554,46
Idx-1555,51
Idx-1556,7
Idx-1557,25
Idx-1558,74
Idx-1559,42
Idx-1560,28
Idx-1561,17
Idx-1562,30
Idx-1563,61
Idx-1564,4
Idx-1565,71
Idx-1566,65
Idx-1567,13
Idx-1568,34
Idx-1569,15
Idx-1570,62
Idx-1571,47
Idx-1572,49
Idx-1573,23
Idx-1574,1
Idx-1575,43
Idx-1576,10
Idx-1577,9
Idx-1578,29
Idx-1579,5
Idx-1580,18
Idx-1581,40
Idx-1582,56
Idx-1583,58
Idx-1584,54
Idx-1585,21
Idx-1586,35
Idx-1587,19
Idx-1588,12
Idx-1589,45
Idx-1590,6
Idx-1591,68
Idx-1592,57
Idx-1593,44
Idx-1594,53
Idx-1595,24
Idx-1596,63
Idx-1597,50
Idx-1598,70
Idx-1599,39
Idx-1600,16
Idx-1601,48
Idx-1602,73
Idx-1603,32
Idx-1604,64
Idx-1605,77
Idx-1606,60
Idx-1607,22
Idx-1608,72
Idx-1609,59
Idx-1610,76
Idx-1611,55
Idx-1612,36
Idx-1613,78
Idx-1614,8
Idx-1615,11
Idx-1616,31
Idx-1617,52
Idx-1618,37
Idx-1619,41
Idx-1620,27
Idx-1621,26
Idx-1622,38
Idx-1623,3
Idx-1624,69
Idx-1625,33
Idx-1626,2
Idx-1627,66
Idx-1628,20
Idx-1629,14
Idx-1630,75
Idx-1631,67
Idx-1632,46
Idx-1633,51
Idx-1634,7
Idx-1635,25
Idx-1636,74
Idx-1637,42
Idx-1638,28
Idx-1639,17
Idx-1640,30
Idx-1641,61
Idx-1642,4
Idx-1643,71
Idx-1644,65
Idx-1645,13
Idx-1646,34
Idx-1647,15
Idx-1648,62
Idx-1649,47
Idx-1650,49
Idx-1651,23
Idx-1652,1
Idx-1653,43
Idx-1654,10
Idx-1655,9
Idx-1656,29
Idx-1657,5
Idx-1658,18
Idx-1659,40
Idx-1660,56
Idx-1661,58
Idx-1662,54
Idx-1663,21
Idx-1664,35
Idx-1665,19
